timestamp;programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;birthday;student_estimate;stress;sports;random_number;bedtime;good_day_1;good_day_2
4-1-2025 12:17:07;Artificial Intelligence;yes;unknown;yes;yes;male;yes;01/01/1888;400;78.0;0.0;928393.0;00:00;Food;Travel
4-1-2025 12:17:14;Artificial Intelligence;yes;yes;no;yes;female;yes;31/01/2002;321;1000.0;2.0;31.416;12:30;sun;coffee
4-1-2025 12:17:17;Econometrics;yes;yes;yes;yes;male;not willing to say;September ;200;101.0;4.0;5.0;0:30;Zonnetje;Aperol
4-1-2025 12:17:21;Econometrics;yes;no;yes;no;male;yes;17/10/2003;350;60.0;6.0;37.0;23:00;Sun;Sun
4-1-2025 12:17:24;Bioinformatics;yes;yes;yes;yes;male;yes;19/04/2000;500;50.0;8.0;1.0;12;-;-
4-1-2025 12:17:26;Econometrics;no;unknown;yes;no;gender fluid;not willing to say;Tomorrow;467;99.7;8.0;0.0;5am;Chocolate;Bitterballen
4-1-2025 12:17:26;Econometrics;no;no;yes;yes;female;yes;25/10/1999;500;60.0;4.0;4.0;12:00;Sun;Good food
4-1-2025 12:17:27;Computer Science;yes;no;no;yes;male;not willing to say;1 april;400;30.0;1.0;6656678.0;12am;good food;good grade
4-1-2025 12:17:28;Artificial Intelligence;no;no;yes;yes;female;yes;29/01/2001;500;60.0;3.0;888.0;10:37;Sun1;Sun2
4-1-2025 12:17:30;Computer Science;no;no;yes;yes;gender fluid;not willing to say;01/08/2000;200;70.0;1.0;4.204204204204204e+17;0200;Work done good;Then smoke weed
4-1-2025 12:17:31;Artificial Intelligence;yes;yes;no;yes;female;yes;19/10/1999;250;100.0;4.0;3.0;11 pm;Good food ;Nice company 
4-1-2025 12:17:31;Computer Science;yes;yes;unknown;yes;male;yes;1-1-1999;400;20.0;4.0;538299000000.0;00:00;Pizza;Beers
4-1-2025 12:17:35;NPN;yes;unknown;yes;yes;male;yes;01/01/2000;345;60.0;8.0;1984.0;23h45;Good food;Good sleep 
4-1-2025 12:17:39;Artificial Intelligence;yes;yes;yes;yes;male;no;June 15 2001;500;50.0;4.0;72.0;9 am;Mama’s food;Dad’s card 
4-1-2025 12:17:40;Computer Science;yes;yes;unknown;yes;female;no;01;200;70.0;2.0;7.0;9;Good work;Good sleep
4-1-2025 12:17:40;Computer Science;no;no;yes;yes;male;yes;27/02/2001;500;1000.0;0.0;94.0;2 am;Passing courses;Sleeping
4-1-2025 12:17:41;Artificial Intelligence;yes;yes;no;yes;male;yes;10/05/1982;400;50.0;7.0;13.0;01.00;Drugs;More drugs
4-1-2025 12:17:43;Artificial Intelligence;no;no;yes;yes;female;yes;16/12/1998;400;30.0;10.0;28.0;23.30;Coffee;Sports
4-1-2025 12:17:44;Bioinformatics;yes;no;unknown;unknown;female;yes;23/06/2002;200;1000.0;0.0;9.0;23:16;Nothing ;Nothing 
4-1-2025 12:17:44;Business Analytics;yes;no;no;yes;female;yes;10/08/2000;200;70.0;0.0;8.0;2;Passing grade;Credit in balance
4-1-2025 12:17:44;Artificial Intelligence;yes;yes;yes;yes;male;yes;30/12/2003;200;5.0;12.0;6372.0;1:00;Sun;More sun
4-1-2025 12:17:46;Artificial Intelligence;yes;yes;yes;yes;male;yes;11 August;500;8.0;6.0;27.0;23.00; ; 
4-1-2025 12:17:49;Artificial Intelligence;yes;yes;yes;yes;male;yes;Idk;300;9999.0;10.0;9999.0;1 am;Not having EDDA exam;Freetime
4-1-2025 12:17:50;Artificial Intelligence;no;no;yes;no;male;yes;04/19/2000;300;20.0;3.0;78.0;12:30 PM;Hanging with friends in the sun;Eating good food
4-1-2025 12:17:51;Artificial Intelligence;yes;no;yes;yes;female;yes;19/07/2003;300;50.0;4.0;38.0;23:30;Sun;Activity 
4-1-2025 12:17:51;Computational Science;no;no;yes;no;female;yes;19 February ;500;15.0;12.0;19.0;00:30;Good food ;Friends 
4-1-2025 12:17:52;Econometrics;no;no;yes;no;female;not willing to say;19/05/2000;100;75.0;6.0;777.0;0.30;Sun;Cappuccino
4-1-2025 12:17:52;Artificial Intelligence;yes;no;yes;yes;female;yes;September 14;550;100000000000000.0;7.0;74.0;2;Sun;Food
4-1-2025 12:17:53;Artificial Intelligence;yes;no;unknown;yes;female;not willing to say;1999;180-200;2.0;4.0;99.0;1:00 am;Sunny day;Hanging out with friends
4-1-2025 12:17:53;Artificial Intelligence;yes;no;yes;yes;female;yes;11/12/2001;300;3.0;10.0;25.0;12;dance;company
4-1-2025 12:17:55;Econometrics;no;no;yes;no;male;yes;24/01/1999;300;55.0;2.0;27.0;12:00;Spending time with Marc;Nice warm weather
4-1-2025 12:17:56;Artificial Intelligence;yes;no;yes;no;male;yes;29-070-2000;456;20.0;9.0;108.0;23:57;Yoga;Delicious food
4-1-2025 12:17:56;Artificial Intelligence;yes;yes;no;yes;not willing to answer;yes;24 de Diciembre ;2055;100.0;10.0;37.0;05:00;Alcohol;More alcohol
4-1-2025 12:17:57;Computer Science;no;unknown;yes;yes;female;no;01/06/2000;100;100.0;1.0;4738.0;12;grade 10;win lottery 
4-1-2025 12:17:57;Artificial Intelligence;yes;yes;no;yes;male;yes;11/11/2000;250;20.0;5.0;11011011.0;23:30;Socialising ;When I've learned something new
4-1-2025 12:17:58;Artificial Intelligence;yes;no;yes;no;male;yes;05/11/1997;250;80.0;4.0;87.0;4:00;doing sports;not having anxiety
4-1-2025 12:17:58;Computational Science;yes;no;yes;no;male;yes;27/11/2002;487;30.0;7.0;39.0;22:30;Sports;Free time
4-1-2025 12:17:59;Finance;yes;no;yes;no;male;yes;20/07/2001;490;75.0;0.0;7.0;00:45;Booking tickets;drinking beers
4-1-2025 12:17:59;Computer Science;yes;yes;yes;yes;female;yes;2000;300;10.0;2.0;7.794535435675898e+22;00:30;seeing friends;no work
4-1-2025 12:18:01;Human Language Technology;yes;no;unknown;yes;female;yes;23/12/2002;450;10.0;3.0;1934.0;01:30;Nice weather;No work
4-1-2025 12:18:03;Artificial Intelligence;no;no;yes;yes;female;yes;16/03/2002;550;50.0;8.0;8.0;00:30;Good food;Sun 
4-1-2025 12:18:04;Artificial Intelligence;yes;no;yes;yes;male;yes;09/05/2002;350;45.0;4.0;69420.0;23:30;Feeling energized;Reaching the goals I set for myself that day
4-1-2025 12:18:05;Finance;yes;no;yes;yes;male;yes;18/05/2003;300;5.0;8.0;14.0;12;Sports;Friends
4-1-2025 12:18:06;Business Analytics;yes;yes;yes;yes;female;yes;11/11/2002;450;89.0;7.0;69.0;23:40;Bubble tea;Dog
4-1-2025 12:18:06;Econometrics;yes;yes;yes;yes;male;no;2000;350;0.0;4.0;14.0;3;No school;High grade
4-1-2025 12:18:06;Artificial Intelligence;yes;unknown;yes;yes;male;not willing to say;26;200;49.0;7.0;420.0;2am;Warm;Sun
4-1-2025 12:18:07;Artificial Intelligence;yes;yes;yes;yes;male;yes;29th September 2001;600;1000.0;4.0;66.0;1am;Going to gym;Weed
4-1-2025 12:18:07;Artificial Intelligence;yes;yes;yes;yes;male;yes;21/11/2002;200;0.0;69.0;1.9938929928488475e+64;2:00;Ajax winning;Drugs
4-1-2025 12:18:08;Artificial Intelligence;yes;yes;yes;yes;female;yes;December 14th;320;70.0;12.0;4.0;23:59;Sun;Interacting with my loved ones
4-1-2025 12:18:08;Computer Science;no;no;yes;yes;male;yes;16/09/2001;200;30.0;5.0;2.3242342342344325e+18;12;nothing to do;can do anything
4-1-2025 12:18:08;Security ;yes;yes;no;yes;not willing to answer;not willing to say;1997;300;72.0;2.0;73.0;00:00;Beer ;Wine 
4-1-2025 12:18:10;Computer Science;yes;yes;yes;yes;male;no;16/08/1996;350;5.0;9.0;-1.0;01:00;A cold beer;Kissing the homies for good night 
4-1-2025 12:18:11;Artificial Intelligence;yes;no;no;no;intersex;yes;69/69/2069;450;60.0;3.0;358.0;04:00;Happy;Friends
4-1-2025 12:18:11;Artificial Intelligence;no;no;yes;yes;female;yes;26/11/1998;150;60.0;2.0;42.0;2am;Good meal;Sunny day
4-1-2025 12:18:12;Artificial Intelligence;yes;yes;no;yes;not willing to answer;yes;23 maart;375;6.0;10.0;61.0;23-00;Az winning;Went to the gym
4-1-2025 12:18:12;Artificial Intelligence;yes;no;yes;yes;male;yes;14/09/2000;200;13.0;6.0;7.0;00:00;Sunny;Pilsie
4-1-2025 12:18:13;Artificial Intelligence;yes;yes;yes;yes;male;yes;-;350;0.0;5.0;69.0;4am;Free time;Videogames
4-1-2025 12:18:13;Business Analytics;yes;no;yes;no;female;yes;20/05/2001;500;2.0;4.0;7.0;01.00;Sun, good food, being productive;Travelling
4-1-2025 12:18:13;Artificial Intelligence;no;no;yes;unknown;male;yes;28/12/1999;400;60.0;6.0;87.0;00.30;Praying 5 times on time;Seeing my parents and my younger brother doing fine
4-1-2025 12:18:14;Artificial Intelligence;no;no;yes;yes;male;yes;January 16th;187;11.0;7.0;6969696.0;2.30;Gym;Edda
4-1-2025 12:18:14;Artificial Intelligence;yes;yes;yes;yes;female;not willing to say;23-05;500;60.0;6.0;5.0;1am;sun;more sun 
4-1-2025 12:18:14;Computational Science;no;no;yes;yes;female;yes;19 July 1997;350;35.0;7.0;95836.0;1 AM;Getting enough sleep;Healthy breakfast
4-1-2025 12:18:16;Bioinformatics;yes;unknown;yes;unknown;male;no;10/12/1994;300;15.0;5.0;;12:00 pm;A good day;A bad day
4-1-2025 12:18:16;Computer Science;yes;yes;yes;yes;female;yes;20.06;400;66.0;6.0;12.0;23:30;Sunny weather ;Good grades 
4-1-2025 12:18:17;Artificial Intelligence;yes;no;yes;no;female;yes;30/09/2002;80;80.0;6.0;47.0;22.00;Sunny day spent with friends ;going to a rave
4-1-2025 12:18:17;Artificial Intelligence;no;no;no;yes;not willing to answer;yes;01/01/1900;500;100.0;2.0;89.0;5;Sun;Sun
4-1-2025 12:18:18;Computer Science;yes;yes;unknown;yes;female;yes;23;450;20.0;0.0;8.0;11;Rain;Chocolate
4-1-2025 12:18:18;Artificial Intelligence;yes;no;yes;no;male;yes;15-02;450;90.0;10.0;4141.0;12:30am;When the sun is out;Having the time to run
4-1-2025 12:18:19;Business Analytics;yes;unknown;yes;no;male;not willing to say;13/03/2002;220;40.0;9.0;15.0;23:00;Get a lot of sleep(at least 8 hours);Eat good food
4-1-2025 12:18:19;Artificial Intelligence;yes;yes;yes;yes;non-binary;not willing to say;08/10/2001;250;30.0;4.0;6.0;2;happiness ;sun
