timestamp;programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;student_estimate;stress;sports;bedtime;age
2025-04-01 12:17:00;Artificial Intelligence;yes;unknown;yes;yes;male;yes;medium;high;low;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;medium;medium;low;middle;middle
2025-04-01 12:17:00;Econometrics;yes;yes;yes;yes;male;not willing to say;low;medium;medium;middle;middle
2025-04-01 12:17:00;Econometrics;yes;no;yes;no;male;yes;medium;medium;medium;middle;young
2025-04-01 12:17:00;Bioinformatics;yes;yes;yes;yes;male;yes;high;medium;high;middle;middle
2025-04-01 12:17:00;Econometrics;no;unknown;yes;no;other;not willing to say;high;high;high;late;middle
2025-04-01 12:17:00;Econometrics;no;no;yes;yes;female;yes;high;medium;medium;middle;middle
2025-04-01 12:17:00;Computer Science;yes;no;no;yes;male;not willing to say;medium;low;low;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;yes;female;yes;high;medium;medium;middle;middle
2025-04-01 12:17:00;Computer Science;no;no;yes;yes;other;not willing to say;low;high;low;late;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;low;high;medium;middle;middle
2025-04-01 12:17:00;Computer Science;yes;yes;unknown;yes;male;yes;medium;low;medium;middle;old
2025-04-01 12:17:00;Other;yes;unknown;yes;yes;male;yes;medium;medium;high;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;no;high;medium;medium;early;middle
2025-04-01 12:17:00;Computer Science;yes;yes;unknown;yes;female;no;low;high;low;early;middle
2025-04-01 12:17:00;Computer Science;no;no;yes;yes;male;yes;high;medium;low;late;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;male;yes;medium;medium;high;middle;old
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;yes;female;yes;medium;low;high;middle;old
2025-04-01 12:17:00;Bioinformatics;yes;no;unknown;unknown;female;yes;low;medium;low;middle;middle
2025-04-01 12:17:00;Business Analytics;yes;no;no;yes;female;yes;low;high;low;late;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;low;low;high;middle;young
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;high;low;medium;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;low;medium;high;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;no;male;yes;low;low;medium;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;low;medium;medium;middle;young
2025-04-01 12:17:00;Computational Science;no;no;yes;no;female;yes;high;low;high;middle;old
2025-04-01 12:17:00;Econometrics;no;no;yes;no;female;not willing to say;low;high;medium;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;high;medium;high;late;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;no;unknown;yes;female;not willing to say;low;low;medium;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;low;low;high;middle;middle
2025-04-01 12:17:00;Econometrics;no;no;yes;no;male;yes;low;medium;low;middle;old
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;no;male;yes;high;low;high;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;other;yes;medium;high;high;late;middle
2025-04-01 12:17:00;Computer Science;no;unknown;yes;yes;female;no;low;high;low;middle;middle
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;male;yes;low;low;medium;middle;middle
