programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;student_estimate;stress;sports;bedtime;age
Artificial Intelligence;yes;unknown;yes;yes;male;yes;400.0;78.0;0.0;00:00;
Artificial Intelligence;yes;yes;no;yes;female;yes;321.0;;2.0;00:30;23.0
Econometrics;yes;yes;yes;yes;male;not willing to say;200.0;;4.0;00:30;
Econometrics;yes;no;yes;no;male;yes;350.0;60.0;6.0;23:00;21.0
Bioinformatics;yes;yes;yes;yes;male;yes;500.0;50.0;8.0;00:00;24.0
Econometrics;no;unknown;yes;no;other;not willing to say;467.0;99.7;8.0;05:00;
Econometrics;no;no;yes;yes;female;yes;500.0;60.0;4.0;00:00;25.0
Computer Science;yes;no;no;yes;male;not willing to say;400.0;30.0;1.0;00:00;
Artificial Intelligence;no;no;yes;yes;female;yes;500.0;60.0;3.0;22:30;24.0
Computer Science;no;no;yes;yes;other;not willing to say;200.0;70.0;1.0;02:00;24.0
Artificial Intelligence;yes;yes;no;yes;female;yes;250.0;100.0;4.0;23:00;25.0
Computer Science;yes;yes;unknown;yes;male;yes;400.0;20.0;4.0;00:00;26.0
Other;yes;unknown;yes;yes;male;yes;345.0;60.0;8.0;00:00;25.0
Artificial Intelligence;yes;yes;yes;yes;male;no;500.0;50.0;4.0;21:00;23.0
Computer Science;yes;yes;unknown;yes;female;no;200.0;70.0;2.0;21:00;
Computer Science;no;no;yes;yes;male;yes;500.0;;0.0;02:00;24.0
Artificial Intelligence;yes;yes;no;yes;male;yes;400.0;50.0;7.0;01:00;42.0
Artificial Intelligence;no;no;yes;yes;female;yes;400.0;30.0;10.0;23:30;26.0
Bioinformatics;yes;no;unknown;unknown;female;yes;200.0;;0.0;23:30;22.0
Business Analytics;yes;no;no;yes;female;yes;200.0;70.0;0.0;02:00;24.0
Artificial Intelligence;yes;yes;yes;yes;male;yes;200.0;5.0;12.0;01:00;21.0
Artificial Intelligence;yes;yes;yes;yes;male;yes;500.0;8.0;6.0;23:00;
Artificial Intelligence;yes;yes;yes;yes;male;yes;300.0;;10.0;01:00;
Artificial Intelligence;no;no;yes;no;male;yes;300.0;20.0;3.0;00:30;
