timestamp;programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;birthday;student_estimate;stress;sports;random_number;bedtime;good_day_1;good_day_2
04/01/2025 12:17;Artificial Intelligence;yes;unknown;yes;yes;male;yes;01/01/1888;400.0;78.0;0.0;928393.0;00:00;Food;Travel
04/01/2025 12:17;Artificial Intelligence;yes;yes;no;yes;female;yes;31/01/2002;321.0;1000.0;2.0;31.416;00:30;sun;coffee
04/01/2025 12:17;Econometrics;yes;yes;yes;yes;male;not willing to say;September ;200.0;101.0;4.0;5.0;00:30;Zonnetje;Aperol
04/01/2025 12:17;Econometrics;yes;no;yes;no;male;yes;17/10/2003;350.0;60.0;6.0;37.0;23:00;Sun;Sun
04/01/2025 12:17;Bioinformatics;yes;yes;yes;yes;male;yes;19/04/2000;500.0;50.0;8.0;1.0;00:00;-;-
04/01/2025 12:17;Econometrics;no;unknown;yes;no;other;not willing to say;Tomorrow;467.0;99.7;8.0;0.0;05:00;Chocolate;Bitterballen
04/01/2025 12:17;Econometrics;no;no;yes;yes;female;yes;25/10/1999;500.0;60.0;4.0;4.0;00:00;Sun;Good food
04/01/2025 12:17;Computer Science;yes;no;no;yes;male;not willing to say;01/04/2025;400.0;30.0;1.0;6656678.0;00:00;good food;good grade
04/01/2025 12:17;Artificial Intelligence;no;no;yes;yes;female;yes;29/01/2001;500.0;60.0;3.0;888.0;22:30;Sun1;Sun2
04/01/2025 12:17;Computer Science;no;no;yes;yes;other;not willing to say;01/08/2000;200.0;70.0;1.0;4,20E+32;02:00;Work done good;Then smoke weed
04/01/2025 12:17;Artificial Intelligence;yes;yes;no;yes;female;yes;19/10/1999;250.0;100.0;4.0;3.0;23:00;Good food ;Nice company 
04/01/2025 12:17;Computer Science;yes;yes;unknown;yes;male;yes;01/01/1999;400.0;20.0;4.0;538299000000.0;00:00;Pizza;Beers
04/01/2025 12:17;Other;yes;unknown;yes;yes;male;yes;01/01/2000;345.0;60.0;8.0;1984.0;00:00;Good food;Good sleep 
04/01/2025 12:17;Artificial Intelligence;yes;yes;yes;yes;male;no;15/06/2001;500.0;50.0;4.0;72.0;21:00;Mama’s food;Dad’s card 
04/01/2025 12:17;Computer Science;yes;yes;unknown;yes;female;no;01/01/1900;200.0;70.0;2.0;7.0;21:00;Good work;Good sleep
04/01/2025 12:17;Computer Science;no;no;yes;yes;male;yes;27/02/2001;500.0;1000.0;0.0;94.0;02:00;Passing courses;Sleeping
04/01/2025 12:17;Artificial Intelligence;yes;yes;no;yes;male;yes;10/05/1982;400.0;50.0;7.0;13.0;01:00;Drugs;More drugs
04/01/2025 12:17;Artificial Intelligence;no;no;yes;yes;female;yes;16/12/1998;400.0;30.0;10.0;28.0;23:30;Coffee;Sports
04/01/2025 12:17;Bioinformatics;yes;no;unknown;unknown;female;yes;23/06/2002;200.0;1000.0;0.0;9.0;23:30;Nothing ;Nothing 
04/01/2025 12:17;Business Analytics;yes;no;no;yes;female;yes;10/08/2000;200.0;70.0;0.0;8.0;02:00;Passing grade;Credit in balance
04/01/2025 12:17;Artificial Intelligence;yes;yes;yes;yes;male;yes;30/12/2003;200.0;5.0;12.0;6372.0;01:00;Sun;More sun
04/01/2025 12:17;Artificial Intelligence;yes;yes;yes;yes;male;yes;11/08/2025;500.0;8.0;6.0;27.0;23:00; ; 
04/01/2025 12:17;Artificial Intelligence;yes;yes;yes;yes;male;yes;Idk;300.0;9999.0;10.0;9999.0;01:00;Not having EDDA exam;Freetime
04/01/2025 12:17;Artificial Intelligence;no;no;yes;no;male;yes;04/19/2000;300.0;20.0;3.0;78.0;00:30;Hanging with friends in the sun;Eating good food
04/01/2025 12:17;Artificial Intelligence;yes;no;yes;yes;female;yes;19/07/2003;300.0;50.0;4.0;38.0;23:30;Sun;Activity 
04/01/2025 12:17;Computational Science;no;no;yes;no;female;yes;19/02/2025;500.0;15.0;12.0;19.0;00:30;Good food ;Friends 
04/01/2025 12:17;Econometrics;no;no;yes;no;female;not willing to say;19/05/2000;100.0;75.0;6.0;777.0;00:30;Sun;Cappuccino
04/01/2025 12:17;Artificial Intelligence;yes;no;yes;yes;female;yes;01/09/2014;550.0;100000000000000.0;7.0;74.0;02:00;Sun;Food
04/01/2025 12:17;Artificial Intelligence;yes;no;unknown;yes;female;not willing to say;21/06/1905;180.0;2.0;4.0;99.0;01:00;Sunny day;Hanging out with friends
04/01/2025 12:17;Artificial Intelligence;yes;no;yes;yes;female;yes;11/12/2001;300.0;3.0;10.0;25.0;00:00;dance;company
04/01/2025 12:17;Econometrics;no;no;yes;no;male;yes;24/01/1999;300.0;55.0;2.0;27.0;00:00;Spending time with Marc;Nice warm weather
04/01/2025 12:17;Artificial Intelligence;yes;no;yes;no;male;yes;29/07/2000;456.0;20.0;9.0;108.0;00:00;Yoga;Delicious food
04/01/2025 12:17;Artificial Intelligence;yes;yes;no;yes;other;yes;24 de Diciembre ;2055.0;100.0;10.0;37.0;05:00;Alcohol;More alcohol
04/01/2025 12:17;Computer Science;no;unknown;yes;yes;female;no;01/06/2000;100.0;100.0;1.0;4738.0;00:00;grade 10;win lottery 
04/01/2025 12:17;Artificial Intelligence;yes;yes;no;yes;male;yes;11/11/2000;250.0;20.0;5.0;11011011.0;23:30;Socialising ;When I've learned something new
04/01/2025 12:17;Artificial Intelligence;yes;no;yes;no;male;yes;05/11/1997;250.0;80.0;4.0;87.0;04:00;doing sports;not having anxiety
04/01/2025 12:17;Computational Science;yes;no;yes;no;male;yes;27/11/2002;487.0;30.0;7.0;39.0;22:30;Sports;Free time
04/01/2025 12:17;Finance;yes;no;yes;no;male;yes;20/07/2001;490.0;75.0;0.0;7.0;01:00;Booking tickets;drinking beers
04/01/2025 12:17;Computer Science;yes;yes;yes;yes;female;yes;22/06/1905;300.0;10.0;2.0;7,79E+37;00:30;seeing friends;no work
04/01/2025 12:18;Other;yes;no;unknown;yes;female;yes;23/12/2002;450.0;10.0;3.0;1934.0;01:30;Nice weather;No work
04/01/2025 12:18;Artificial Intelligence;no;no;yes;yes;female;yes;16/03/2002;550.0;50.0;8.0;8.0;00:30;Good food;Sun 
04/01/2025 12:18;Artificial Intelligence;yes;no;yes;yes;male;yes;09/05/2002;350.0;45.0;4.0;69420.0;23:30;Feeling energized;Reaching the goals I set for myself that day
04/01/2025 12:18;Finance;yes;no;yes;yes;male;yes;18/05/2003;300.0;5.0;8.0;14.0;00:00;Sports;Friends
04/01/2025 12:18;Business Analytics;yes;yes;yes;yes;female;yes;11/11/2002;450.0;89.0;7.0;69.0;23:30;Bubble tea;Dog
04/01/2025 12:18;Econometrics;yes;yes;yes;yes;male;no;22/06/1905;350.0;0.0;4.0;14.0;03:00;No school;High grade
04/01/2025 12:18;Artificial Intelligence;yes;unknown;yes;yes;male;not willing to say;26/01/1900;200.0;49.0;7.0;420.0;02:00;Warm;Sun
04/01/2025 12:18;Artificial Intelligence;yes;yes;yes;yes;male;yes;29/08/2001;600.0;1000.0;4.0;66.0;01:00;Going to gym;Weed
04/01/2025 12:18;Artificial Intelligence;yes;yes;yes;yes;male;yes;21/11/2002;200.0;0.0;69.0;1,99E+80;02:00;Ajax winning;Drugs
04/01/2025 12:18;Artificial Intelligence;yes;yes;yes;yes;female;yes;December 14th;320.0;70.0;12.0;4.0;00:00;Sun;Interacting with my loved ones
04/01/2025 12:18;Computer Science;no;no;yes;yes;male;yes;16/09/2001;200.0;30.0;5.0;2,32E+34;00:00;nothing to do;can do anything
04/01/2025 12:18;Other;yes;yes;no;yes;other;not willing to say;19/06/1905;300.0;72.0;2.0;73.0;00:00;Beer ;Wine 
04/01/2025 12:18;Computer Science;yes;yes;yes;yes;male;no;16/08/1996;350.0;5.0;9.0;-1.0;01:00;A cold beer;Kissing the homies for good night 
04/01/2025 12:18;Artificial Intelligence;yes;no;no;no;other;yes;69/69/2069;450.0;60.0;3.0;358.0;04:00;Happy;Friends
04/01/2025 12:18;Artificial Intelligence;no;no;yes;yes;female;yes;26/11/1998;150.0;60.0;2.0;42.0;02:00;Good meal;Sunny day
04/01/2025 12:18;Artificial Intelligence;yes;yes;no;yes;other;yes;23 maart;375.0;6.0;10.0;61.0;23:00;Az winning;Went to the gym
04/01/2025 12:18;Artificial Intelligence;yes;no;yes;yes;male;yes;14/09/2000;200.0;13.0;6.0;7.0;00:00;Sunny;Pilsie
04/01/2025 12:18;Artificial Intelligence;yes;yes;yes;yes;male;yes;-;350.0;0.0;5.0;69.0;04:00;Free time;Videogames
04/01/2025 12:18;Business Analytics;yes;no;yes;no;female;yes;20/05/2001;500.0;2.0;4.0;7.0;01:00;Sun, good food, being productive;Travelling
04/01/2025 12:18;Artificial Intelligence;no;no;yes;unknown;male;yes;28/12/1999;400.0;60.0;6.0;87.0;00:30;Praying 5 times on time;Seeing my parents and my younger brother doing fine
04/01/2025 12:18;Artificial Intelligence;no;no;yes;yes;male;yes;January 16th;187.0;11.0;7.0;6969696.0;02:30;Gym;Edda
04/01/2025 12:18;Artificial Intelligence;yes;yes;yes;yes;female;not willing to say;23/05/2025;500.0;60.0;6.0;5.0;01:00;sun;more sun 
04/01/2025 12:18;Computational Science;no;no;yes;yes;female;yes;19/07/1997;350.0;35.0;7.0;95836.0;01:00;Getting enough sleep;Healthy breakfast
