timestamp;programme;machine_learning;information_retrieval;statistics;databases;gender;chatgpt;birthday;student_estimate;stress;sports;random_number;bedtime;good_day_1;good_day_2;age
2025-04-01 12:17:00;Artificial Intelligence;yes;unknown;yes;yes;male;yes;1888-01-01;400.0;78.0;0.0;928393.0;00:00;Food;Travel;23.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;2002-01-31;321.0;40.0;2.0;31.416;00:30;sun;coffee;23.0
2025-04-01 12:17:00;Econometrics;yes;yes;yes;yes;male;not willing to say;;200.0;40.0;4.0;5.0;00:30;Zonnetje;Aperol;23.0
2025-04-01 12:17:00;Econometrics;yes;no;yes;no;male;yes;2003-10-17;350.0;60.0;6.0;37.0;23:00;Sun;Sun;21.0
2025-04-01 12:17:00;Bioinformatics;yes;yes;yes;yes;male;yes;2000-04-19;500.0;50.0;8.0;1.0;00:00;-;-;24.0
2025-04-01 12:17:00;Econometrics;no;unknown;yes;no;other;not willing to say;;467.0;99.7;8.0;0.0;05:00;Chocolate;Bitterballen;23.0
2025-04-01 12:17:00;Econometrics;no;no;yes;yes;female;yes;1999-10-25;500.0;60.0;4.0;4.0;00:00;Sun;Good food;25.0
2025-04-01 12:17:00;Computer Science;yes;no;no;yes;male;not willing to say;2025-04-01;400.0;30.0;1.0;6656678.0;00:00;good food;good grade;23.0
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;yes;female;yes;2001-01-29;500.0;60.0;3.0;888.0;22:30;Sun1;Sun2;24.0
2025-04-01 12:17:00;Computer Science;no;no;yes;yes;other;not willing to say;2000-08-01;200.0;70.0;1.0;4,20E+32;02:00;Work done good;Then smoke weed;24.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;female;yes;1999-10-19;250.0;100.0;4.0;3.0;23:00;Good food ;Nice company ;25.0
2025-04-01 12:17:00;Computer Science;yes;yes;unknown;yes;male;yes;1999-01-01;400.0;20.0;4.0;538299000000.0;00:00;Pizza;Beers;26.0
2025-04-01 12:17:00;Other;yes;unknown;yes;yes;male;yes;2000-01-01;345.0;60.0;8.0;1984.0;00:00;Good food;Good sleep ;25.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;no;2001-06-15;500.0;50.0;4.0;72.0;21:00;Mama’s food;Dad’s card ;23.0
2025-04-01 12:17:00;Computer Science;yes;yes;unknown;yes;female;no;1900-01-01;200.0;70.0;2.0;7.0;21:00;Good work;Good sleep;23.0
2025-04-01 12:17:00;Computer Science;no;no;yes;yes;male;yes;2001-02-27;500.0;40.0;0.0;94.0;02:00;Passing courses;Sleeping;24.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;no;yes;male;yes;1982-05-10;400.0;50.0;7.0;13.0;01:00;Drugs;More drugs;42.0
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;yes;female;yes;1998-12-16;400.0;30.0;10.0;28.0;23:30;Coffee;Sports;26.0
2025-04-01 12:17:00;Bioinformatics;yes;no;unknown;unknown;female;yes;2002-06-23;200.0;40.0;0.0;9.0;23:30;Nothing ;Nothing ;22.0
2025-04-01 12:17:00;Business Analytics;yes;no;no;yes;female;yes;2000-08-10;200.0;70.0;0.0;8.0;02:00;Passing grade;Credit in balance;24.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;2003-12-30;200.0;5.0;12.0;6372.0;01:00;Sun;More sun;21.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;2025-08-11;500.0;8.0;6.0;27.0;23:00; ; ;23.0
2025-04-01 12:17:00;Artificial Intelligence;yes;yes;yes;yes;male;yes;;300.0;40.0;10.0;9999.0;01:00;Not having EDDA exam;Freetime;23.0
2025-04-01 12:17:00;Artificial Intelligence;no;no;yes;no;male;yes;;300.0;20.0;3.0;78.0;00:30;Hanging with friends in the sun;Eating good food;23.0
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;2003-07-19;300.0;50.0;4.0;38.0;23:30;Sun;Activity ;21.0
2025-04-01 12:17:00;Computational Science;no;no;yes;no;female;yes;2025-02-19;500.0;15.0;12.0;19.0;00:30;Good food ;Friends ;23.0
2025-04-01 12:17:00;Econometrics;no;no;yes;no;female;not willing to say;2000-05-19;100.0;75.0;6.0;777.0;00:30;Sun;Cappuccino;24.0
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;2014-09-01;550.0;40.0;7.0;74.0;02:00;Sun;Food;23.0
2025-04-01 12:17:00;Artificial Intelligence;yes;no;unknown;yes;female;not willing to say;1905-06-21;180.0;2.0;4.0;99.0;01:00;Sunny day;Hanging out with friends;23.0
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;yes;female;yes;2001-12-11;300.0;3.0;10.0;25.0;00:00;dance;company;23.0
2025-04-01 12:17:00;Econometrics;no;no;yes;no;male;yes;1999-01-24;300.0;55.0;2.0;27.0;00:00;Spending time with Marc;Nice warm weather;26.0
2025-04-01 12:17:00;Artificial Intelligence;yes;no;yes;no;male;yes;2000-07-29;456.0;20.0;9.0;108.0;00:00;Yoga;Delicious food;24.0
